,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
12992,445045701,4,3,2,2,0,0,0,1573,57,40,15,40
12993,478141392,5,3,0,3,1,0,1,800,52,24,33,51
12994,118709204,1,0,1,0,0,0,0,17,0,4,2,1
12995,1091460055,1,0,1,0,0,0,0,103,7,8,7,3
12996,1146543063,2,0,0,0,0,1,1,19,2,4,13,11
12997,116415449,4,1,0,1,0,0,3,112,39,6,31,39
12998,198138841,2,1,0,0,1,0,1,167,5,12,21,32
12999,1154767845,3,2,0,0,1,2,0,147,17,17,17,60
13000,198171623,1,1,0,1,0,0,0,339,8,9,7,17
13001,278027240,1,1,0,0,0,0,1,41,5,2,9,21
13002,328915946,4,0,1,1,0,2,0,595,67,20,29,84
13003,1174363115,1,1,0,0,1,0,0,150,17,7,7,12
13004,850910192,2,2,0,2,0,0,0,384,28,7,5,19
13005,443407345,1,1,0,0,0,0,1,3,0,0,6,2
13006,153148404,1,0,0,0,0,1,0,37,3,2,8,13
13007,386030581,2,2,0,0,1,1,0,148,16,18,8,52
13008,193747957,4,2,2,2,0,0,0,1008,96,38,18,27
13009,173038583,1,0,0,0,1,0,0,57,2,0,11,1
13010,385113080,2,1,1,0,1,0,0,469,29,12,12,16
13011,201579511,1,0,1,0,0,0,0,249,8,4,8,5
13012,313023478,1,0,0,0,0,0,1,10,2,5,7,5
13013,144530427,8,1,0,1,0,4,3,524,17,17,84,88
13014,272227324,6,2,0,0,0,0,6,212,37,25,29,53
13015,356867063,1,0,0,0,0,1,0,15,0,1,9,5
13016,207412224,1,0,0,0,1,0,0,9,3,2,9,5
13017,120413188,7,4,0,0,0,4,3,403,44,37,57,145
13018,209542149,1,1,0,0,0,0,1,73,13,2,9,27
13019,241884166,111,68,0,0,7,86,18,6849,336,466,578,1460
13020,141876231,1,0,1,0,0,0,0,266,8,8,5,8
13021,195714057,18,9,14,1,3,0,0,5875,182,100,71,148
13022,1116920842,1,1,0,1,0,0,0,111,11,8,8,4
13023,199121930,1,0,0,0,0,0,1,51,4,1,6,6
13024,152722445,1,1,0,0,0,0,1,5,2,1,7,19
13025,340581390,1,1,1,0,0,0,0,273,21,13,3,7
13026,121756688,10,4,0,3,7,0,0,1397,83,57,63,119
13027,838523921,2,1,0,0,0,1,1,50,1,14,8,12
13028,148659218,1,0,1,0,0,0,0,169,7,1,4,3
13029,85449747,36,9,0,0,5,11,20,2693,131,102,239,494
13030,202464276,2,1,2,0,0,0,0,1106,10,13,4,21
13031,879123476,7,3,4,3,0,0,0,1260,70,60,22,53
13032,108747798,7,3,6,1,0,0,0,1899,42,40,29,66
13033,1060232215,2,0,1,1,0,0,0,167,19,2,15,2
13034,134437912,8,2,1,0,0,6,1,167,18,27,55,87
13035,907303961,1,0,0,0,1,0,0,53,4,0,5,0
13036,114449433,5,3,0,0,0,1,4,99,10,14,29,57
13037,986602521,2,0,2,0,0,0,0,653,21,9,8,5
13038,1187863578,4,1,0,0,0,1,3,62,7,9,21,43
13039,896261149,3,2,0,0,1,1,1,147,9,17,23,51
13040,480959518,1,0,0,0,0,0,1,10,0,0,6,2
13041,153181216,16,13,13,2,0,0,1,4898,117,137,61,145
13042,379477025,2,0,2,0,0,0,0,145,10,10,16,6
13043,250895397,4,0,0,0,1,2,1,117,3,6,18,31
13044,137878566,11,0,0,0,0,8,3,368,36,18,85,67
13045,369843244,1,0,1,0,0,0,0,253,10,20,8,8
13046,164092975,3,3,0,0,0,0,3,69,2,8,24,34
13047,86596655,1,1,0,0,1,0,0,119,10,7,8,13
13048,129883185,1,0,0,0,0,0,1,1,3,0,10,2
13049,250862641,5,4,0,0,0,0,5,247,17,13,44,75
13050,231496755,41,21,11,15,11,2,2,8209,838,357,190,509
13051,347266096,1,0,0,1,0,0,0,101,8,3,6,2
13052,315710519,1,0,0,0,1,0,0,281,8,6,6,11
13053,848354360,1,0,0,0,1,0,0,1,0,3,8,3
13054,139123768,1,1,0,0,0,1,0,178,4,3,6,13
13055,396254267,5,2,0,0,1,3,1,325,29,21,36,70
13056,332848188,9,2,0,0,0,7,2,356,16,28,65,133
13057,140729406,29,16,20,5,3,1,0,7464,241,256,125,261
13058,122182720,10,4,4,4,2,0,0,3364,71,109,53,126
13059,886299713,1,0,0,0,0,1,0,57,3,8,10,26
13060,927128641,2,0,0,2,0,0,0,696,33,7,6,34
