,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
1654,166458146,68,20,46,18,4,0,0,287.30882352941177,15.764705882352942,5.323529411764706,3.2205882352941178,6.573529411764706,1371,清净,7552.0,7555.0,,1.0
1427,119137163,68,30,25,32,9,1,1,252.3235294117647,8.367647058823529,7.102941176470588,3.4558823529411766,9.823529411764707,875,ImbaCh,5645.0,7610.0,598.0,2.0
992,164217422,68,13,54,13,1,0,0,325.72058823529414,8.794117647058824,4.9411764705882355,4.485294117647059,6.588235294117647,1350,Kom4rt,6199.0,5811.0,335.0,1.0
395,131766964,67,35,0,0,0,2,65,34.43283582089552,1.8656716417910448,2.373134328358209,6.388059701492537,13.970149253731343,1047,Protoss,5987.0,7021.0,440.0,5.0
349,85956459,67,30,44,19,3,1,0,306.2985074626866,11.223880597014926,7.8059701492537314,3.2686567164179103,9.776119402985074,2460,Mariachi...<3,5720.0,6031.0,718.0,1.0
180,106204137,66,38,14,30,22,0,0,213.06060606060606,9.833333333333334,7.7272727272727275,5.409090909090909,10.575757575757576,646,Retribution,5540.0,6691.0,789.0,2.0
928,390217220,66,30,21,40,5,0,0,245.74242424242425,10.606060606060606,6.409090909090909,3.212121212121212,8.590909090909092,2170,Dulashtr,6559.0,7067.0,338.0,2.0
1202,115102590,66,35,1,9,48,8,0,170.03030303030303,8.333333333333334,3.212121212121212,4.590909090909091,11.484848484848484,797,ryOyr,6124.0,,570.0,3.0
977,260981052,65,46,44,13,1,3,4,265.12307692307695,11.492307692307692,8.276923076923078,3.276923076923077,9.738461538461538,1848,Lovkiy,5689.0,6093.0,259.0,1.0
1383,190996591,65,29,1,9,50,4,1,149.46153846153845,9.092307692307692,4.769230769230769,6.538461538461538,11.584615384615384,1565,LIL SORRY,6512.0,6997.0,157.0,3.0
243,21270361,65,30,0,0,2,52,11,65.03076923076924,2.923076923076923,3.4615384615384617,5.538461538461538,14.138461538461538,41,qoval,6518.0,6215.0,143.0,4.0
1409,86762037,64,30,0,0,0,0,64,31.375,1.59375,2.203125,5.625,12.375,295,WinteR,4838.0,,1336.0,5.0
1046,161072811,64,26,5,33,21,2,3,180.125,7.859375,6.4375,4.28125,10.28125,1326,RRL,5807.0,6951.0,36.0,2.0
1203,151835528,64,35,0,0,8,47,9,85.890625,4.78125,3.78125,5.140625,14.03125,1245,ThefastLife,5723.0,6767.0,551.0,4.0
888,368917218,64,30,52,9,2,0,1,331.296875,13.90625,7.15625,3.609375,7.796875,2117,layme,6237.0,,85.0,1.0
